job_title,unique_users,avg_cart_value,completed_purchases,total_revenue,conversion_rate
"Production assistant, radio",18,2884.61,9,31884.79,50.0
Corporate treasurer,21,2522.51,10,29161.91,47.62
Consulting civil engineer,22,2284.89,10,29086.21,45.45
Health visitor,17,3006.2,8,28973.78,47.06
Agricultural consultant,18,2659.4,7,28490.61,38.89
Radiation protection practitioner,17,3191.16,8,27853.21,47.06
Midwife,24,2860.17,9,25857.64,37.5
Chief Financial Officer,16,2637.0,8,25172.96,50.0
Financial manager,17,2685.35,7,25107.08,41.18
Licensed conveyancer,15,3329.53,7,24823.41,46.67
