product_name,total_views,completed_purchases,avg_purchase_value,total_revenue,conversion_rate
Upsilon,347,123.0,901.99,312991.53,35.45
Delta,321,121.0,913.09,293100.73,37.69
Rho,298,108.0,975.26,290626.64,36.24
Tau,297,109.0,974.48,289419.96,36.7
Nu,308,103.0,924.01,284596.44,33.44
Omicron,331,109.0,845.96,280012.95,32.93
Epsilon,341,109.0,818.98,279273.83,31.96
Chi,327,111.0,844.5,276152.85,33.94
Lambda,319,107.0,860.01,274344.25,33.54
Eta,281,103.0,968.01,272009.98,36.65
Phi,301,95.0,896.52,269851.91,31.56
Iota,336,103.0,787.76,264686.81,30.65
Beta,317,103.0,831.46,263573.23,32.49
Xi,293,98.0,892.32,261449.16,33.45
Gamma,347,108.0,741.77,257395.66,31.12
Zeta,316,100.0,810.87,256235.36,31.65
Alpha,320,101.0,799.31,255779.72,31.56
Omega,320,95.0,774.14,247724.87,29.69
Kappa,310,91.0,777.23,240939.84,29.35
Sigma,284,87.0,808.05,229485.41,30.63
Mu,315,92.0,726.2,228752.03,29.21
Psi,336,91.0,677.47,227629.88,27.08
Pi,301,90.0,721.03,217028.68,29.9
Theta,289,88.0,734.17,212174.58,30.45
